기준_년분기_코드,구명,행정동_코드_명,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,당월_매출_건수,주중_매출_건수,주말_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20234,강동구,성내1동,치킨전문점,21000000,15038496,5961504,229411,1711358,3648073,5225415,5603802,3535074,1153,818,335,696,420,9,120,234,276,314,162
20234,강동구,성내2동,치킨전문점,352431000,212928378,139502622,1236486,39395380,83792230,71911696,71615089,80820041,11813,7158,4655,7447,4276,54,1578,2526,2734,2836,1996
20234,강동구,성내3동,치킨전문점,413967297,261623123,152344174,4427350,52215314,79836249,99904612,95746542,64939569,16419,10491,5928,9516,6609,221,2472,3177,3588,3768,2897
20234,강동구,길동,치킨전문점,980283719,639982291,340301428,4370552,125293868,179642290,214714703,255282283,145673688,40143,26077,14066,24866,14135,197,5066,7490,9332,10638,6279
20234,강동구,둔촌2동,치킨전문점,188315237,131159208,57156029,833534,11386869,27657930,55914587,47696913,33791323,7184,4987,2197,4647,2259,56,541,1231,2125,1760,1190
20241,강북구,삼양동,치킨전문점,27619077,20368230,7250847,64466,2630248,4411997,9192403,6109543,3874161,1424,1079,345,810,602,6,159,270,435,342,201
20241,강북구,미아동,치킨전문점,130451092,88204694,42246398,2317037,11027598,20543716,26882784,39444133,28711412,5562,3741,1821,3339,2173,177,574,889,1084,1531,1259
20241,강북구,송중동,치킨전문점,230901581,159714904,71186677,1446707,52104142,42701464,39309948,50661607,28192732,7276,4940,2336,4204,2924,42,1435,1428,1322,1807,1095
20241,강북구,송천동,치킨전문점,443170236,289756591,153413645,559940,14493935,55457242,85685147,147820859,127337372,17281,11780,5501,10618,6463,40,702,1916,3348,5769,5311
20241,강북구,삼각산동,치킨전문점,163239615,102443455,60796160,1421693,8804781,17699300,62839083,43049407,20045040,5753,3726,2027,3412,2103,47,344,675,1953,1720,775
20241,강북구,번1동,치킨전문점,222941960,153789953,69152007,2185268,24622044,36924453,47234382,58858271,45939651,8353,5688,2665,4789,3461,85,1018,1579,1606,2122,1836
20241,강북구,번3동,치킨전문점,151124168,108743313,42380855,841080,12993307,19821088,45599155,41916815,28509438,8010,5946,2064,4269,3715,59,761,1113,2353,2207,1491
20241,강북구,수유1동,치킨전문점,24588497,13918736,10669761,59243,639828,2351845,5581440,9540196,6415945,1260,756,504,735,525,6,35,119,281,430,389
20241,강북구,수유2동,치킨전문점,309310089,219245629,90064460,3665349,29122358,59168219,68849249,75572741,66255442,19136,13599,5537,10424,8573,335,2246,4145,4088,4379,3804
20241,강북구,수유3동,치킨전문점,417759925,292564387,125195538,2765394,55063269,84802612,94848473,111478231,53808122,12558,8739,3819,7850,4490,84,1699,2555,2759,3475,1771
20241,강북구,우이동,치킨전문점,219650508,128804985,90845523,151511,15393646,32817215,39757939,67085763,56972416,7432,4656,2776,4778,2578,7,618,1304,1456,2046,1922
20241,강북구,인수동,치킨전문점,3952122,2020971,1931151,0,353670,1409067,752250,825230,611905,186,101,85,136,50,0,17,67,39,34,29
20241,강서구,염창동,치킨전문점,240177826,177748231,62429595,1549185,10900601,39047515,68180298,58978691,29490570,8370,5771,2599,5022,2900,56,394,1418,2531,2207,1316
20241,강서구,등촌1동,치킨전문점,380317106,309530885,70786221,1167839,30189570,80329617,72144577,83545374,39677583,10006,7870,2136,5488,3413,31,914,2422,1850,2365,1321
20241,강서구,등촌2동,치킨전문점,100161120,63899407,36261713,582466,9688569,22315899,21769795,29440333,12987987,4851,3152,1699,2905,1873,15,507,1194,1152,1306,605
20241,강서구,등촌3동,치킨전문점,1092290391,816336586,275953805,7951624,136191882,229923976,179037552,218762489,149340643,31080,22440,8640,17866,10893,232,3914,7346,4976,7093,5197
20241,강서구,화곡1동,치킨전문점,452656820,286564152,166092668,1364846,72301555,124684916,97200782,95710474,50773042,13662,8801,4861,8098,5379,55,2094,3709,3070,2926,1620
20241,강서구,화곡2동,치킨전문점,20186098,11912557,8273541,0,2413116,3565023,2034754,7885089,4288116,1194,656,538,622,572,0,202,270,135,369,218
20241,강서구,화곡3동,치킨전문점,496824675,320602561,176222114,5725494,79605908,123553911,96530641,123708707,61894107,15902,10491,5411,9638,6158,145,2493,3910,3028,4133,2087
20241,강서구,화곡4동,치킨전문점,279426887,168638708,110788179,195133,22454795,48050501,63024501,80044277,57377581,13863,8691,5172,9041,4670,8,1194,2826,3162,3656,2865
20241,강서구,화곡본동,치킨전문점,199429829,150411151,49018678,399700,15871289,42192811,50451790,49818100,36154649,14137,10758,3379,7852,6242,36,1386,3232,3588,3436,2414
20241,강서구,화곡6동,치킨전문점,454954470,306961822,147992648,3189648,58614861,101262586,122726509,90047647,46005786,12201,8123,4078,7993,3713,79,1424,2799,3357,2525,1522
20241,강서구,화곡8동,치킨전문점,95089365,60883933,34205432,838579,5575314,24258044,20959396,22295207,16726863,4220,2874,1346,2417,1689,15,378,1198,889,917,706
20241,강서구,가양1동,치킨전문점,122860850,101559295,21301555,717370,13271323,30696408,22930408,25630057,11932989,3303,2576,727,2049,975,44,421,895,590,658,416
20241,강서구,가양3동,치킨전문점,166617299,127784034,38833265,1292545,12110199,30759593,27043588,43801603,31379178,6495,4831,1664,3371,2773,64,538,1332,950,1705,1554
20241,강서구,발산1동,치킨전문점,236245159,159161722,77083437,1462516,13116914,32146025,67288255,71486226,36998958,12099,8472,3627,6124,5568,125,858,1758,3573,3300,2079
20241,강서구,우장산동,치킨전문점,113775623,72107646,41667977,0,13950578,38448136,28410772,18340053,13476695,6640,4111,2529,4333,2288,0,871,2361,1724,994,672
20241,강서구,공항동,치킨전문점,258738987,211815099,46923888,1711100,28446609,73160626,45224481,53764636,28420838,6672,5221,1451,4059,2216,50,797,1911,1372,1364,782
20241,강서구,방화1동,치킨전문점,662147683,444198274,217949409,4187538,42068733,115170596,159060074,182500699,113526596,25625,17623,8002,14643,10087,193,1741,5419,6213,6596,4568
20241,강서구,방화2동,치킨전문점,478439396,340358757,138080639,1670742,25928040,59950643,104725573,129373685,92245454,17303,11871,5432,9926,6354,111,1094,2641,4394,4545,3492
20241,강서구,방화3동,치킨전문점,195834060,128370546,67463514,1817182,12853037,31447201,44110317,52790093,42148436,8109,5505,2604,4399,3385,94,673,1368,1698,2079,1872
20241,강남구,신사동,치킨전문점,686509037,514817902,171691135,7729023,108629496,179955145,118463552,98329554,50620463,13651,10264,3387,6760,5143,287,2538,3446,2318,2275,1043
20241,강남구,논현1동,치킨전문점,470409468,347562601,122846867,1071805,75558485,128876182,86521638,59968698,30398447,13718,10085,3633,7740,4215,67,2008,3908,2746,1958,1273
20241,강남구,논현2동,치킨전문점,932705693,811280032,121425661,5108123,92500651,229163864,161231004,128680894,66402157,20743,18118,2625,11745,5008,94,2099,5374,3996,3254,1931
20241,강남구,압구정동,치킨전문점,298073743,238075696,59998047,2204164,30540642,61165164,44645778,54624617,27449934,5358,4161,1197,2964,1339,108,689,1017,854,1082,552
20241,강남구,청담동,치킨전문점,448231323,354338324,93892999,1086424,36194418,69183776,82421502,85554523,56840533,10280,7734,2546,4962,3488,24,935,1607,2082,2221,1589
20241,강남구,삼성1동,치킨전문점,798439522,711126550,87312972,257771,68696469,195915357,144221298,91965778,40615396,12174,10767,1407,6012,2865,3,1174,2959,2552,1594,593
20241,강남구,삼성2동,치킨전문점,529477523,414288834,115188689,7945965,54455621,95804470,92587030,91863395,56565670,14258,10951,3307,6538,5278,423,1801,2534,2708,2909,1441
20241,강남구,대치1동,치킨전문점,155931040,107497223,48433817,190134,3234595,14868783,54274174,39568765,28338552,4424,3106,1318,2313,1822,11,73,299,1627,1257,870
20241,강남구,대치2동,치킨전문점,1177926297,937489855,240436442,13810128,66931722,182250278,309750812,250124642,90462712,28264,21445,6819,14728,9824,764,1773,4358,8367,6743,2547
20241,강남구,대치4동,치킨전문점,1383579342,1050943124,332636218,31649101,124373418,183324766,344540658,311289970,80721363,32180,23750,8430,17129,11073,1678,2982,3798,9029,8767,1942
20241,강남구,역삼1동,치킨전문점,2945735225,2462084014,483651211,12777511,361960849,689042914,529031533,391742640,184999421,69949,55847,14102,37671,20674,691,11071,17995,12956,10308,5324
20241,강남구,역삼2동,치킨전문점,536252853,472802281,63450572,980643,35995803,92511833,119629273,87394537,24824644,11723,10415,1308,5796,3895,36,1211,2930,3000,1880,634
20241,강남구,도곡1동,치킨전문점,119249289,109837633,9411656,1018111,5809163,14216800,49967886,18448629,2889950,6665,6166,499,3043,3163,242,518,1301,2867,1014,263
20241,강남구,도곡2동,치킨전문점,198861016,159988860,38872156,437160,21659053,44535249,30867925,30783318,18731234,3978,3091,887,2262,982,20,460,858,710,735,462
20241,강남구,개포2동,치킨전문점,262256949,169954255,92302694,3235925,22275171,35650755,65966314,74349990,39966386,11278,7189,4089,6656,4199,209,1039,1586,2922,3327,1771
20241,강남구,개포4동,치킨전문점,301988048,209825540,92162508,4121667,24762473,34147833,71856141,88976676,48188287,12404,8489,3915,7530,4206,204,1023,1607,3190,3599,2118
20241,강남구,세곡동,치킨전문점,354864739,249914937,104949802,2972462,25348049,65344263,98027643,68629833,43919026,13738,9335,4403,7543,5164,148,1108,2817,3963,2863,1808
20241,강남구,일원본동,치킨전문점,34672054,21063769,13608285,260032,1995046,3270961,10812095,9910529,6634336,1518,929,589,681,778,5,121,150,545,405,232
20241,강남구,일원1동,치킨전문점,516513729,352634052,163879677,3456559,55693187,102383188,129225765,128165518,53828465,19141,13002,6139,11485,6613,197,2141,3954,5080,4614,2113
20241,강남구,수서동,치킨전문점,248926664,193640573,55286091,545907,17204476,48431177,48005650,53378980,52902004,6740,5157,1583,4027,2143,12,498,1326,1284,1387,1666
20241,강동구,강일동,치킨전문점,171370362,113519058,57851304,906229,16092292,28780150,41126902,49868484,26363014,5991,3996,1995,3797,2041,42,624,1150,1439,1690,894
20241,강동구,상일동,치킨전문점,82093510,55477272,26616238,392571,6197079,14778283,28049750,18218261,9098522,2721,1768,953,1750,830,20,212,429,854,694,374
20241,강동구,명일1동,치킨전문점,418907866,277403106,141504760,4337090,29952847,64274407,105137927,123036718,66639556,13880,9177,4703,8264,5229,194,1262,2287,3357,4021,2376
20241,강동구,명일2동,치킨전문점,194523814,139796796,54727018,4279613,17790045,25909108,60213628,51275259,26813082,9413,6520,2893,5048,4201,281,805,1284,2771,2480,1627
20241,강동구,고덕1동,치킨전문점,19381994,10579695,8802299,409165,1171511,2211189,6035620,6000604,2587574,809,433,376,580,213,16,66,103,263,240,105
20241,강동구,고덕2동,치킨전문점,503388023,324295548,179092475,6980440,37508120,75606308,125187117,139110527,73185655,16304,10649,5655,9840,5693,220,1335,2706,4197,4502,2576
20241,강동구,암사1동,치킨전문점,44019607,31445247,12574360,11436,2170160,7094431,7046186,8643350,18219182,1848,1338,510,1366,465,6,129,367,339,435,557
20241,강동구,암사2동,치킨전문점,228649771,157373445,71276326,534799,8874828,33482337,63871395,70398074,36439586,7899,5423,2476,4951,2562,26,346,1201,2110,2437,1394
20241,강동구,암사3동,치킨전문점,161565847,109011881,52553966,875150,4509103,16237491,60034287,30616073,30785703,6799,4727,2072,3370,2917,30,193,749,2703,1261,1350
20241,강동구,천호1동,치킨전문점,831467620,556257981,275209639,537750,48126702,126682118,150738441,202274788,293623951,27020,18521,8499,17389,9592,37,2469,5154,5603,7154,6565
20241,강동구,천호2동,치킨전문점,366354798,236569720,129785078,2095947,44095052,80703605,74004672,83339023,58200772,10049,6585,3464,6095,3479,62,1194,2057,2052,2349,1858
20241,강동구,천호3동,치킨전문점,97822191,66411407,31410784,227219,7193957,18601239,15371291,22425482,21829217,4393,3018,1375,2801,1409,11,448,940,671,1186,950
20241,강동구,성내1동,치킨전문점,21000000,15692600,5307400,0,1472890,3588082,5026298,5805359,4463728,1062,779,283,687,366,0,110,185,246,325,187
20241,강동구,성내2동,치킨전문점,355033181,225186073,129847108,702177,41841076,82094119,94588389,66366832,51219402,11030,6953,4077,6824,3930,41,1251,2512,2920,2292,1737
20241,강동구,성내3동,치킨전문점,350109711,236886035,113223676,2116038,48207026,79069463,81935942,74504300,45894213,12171,8454,3717,7509,4383,111,1805,2833,2726,2753,1666
20241,강동구,길동,치킨전문점,810255725,557576983,252678742,3630363,85156892,167883783,166232976,199096816,156080896,36601,25263,11338,24544,11287,229,3633,7921,7579,9133,7343
20241,강동구,둔촌2동,치킨전문점,178473965,135845634,42628331,384343,4762225,26029300,50267397,52555602,31306955,6772,4956,1816,4581,1957,22,279,1035,2091,1838,1272
20242,강북구,삼양동,치킨전문점,30711387,20715901,9995486,0,1638042,4533276,9820250,6359430,6918636,1518,1013,505,703,792,0,104,246,469,336,341
20242,강북구,미아동,치킨전문점,160540948,113012282,47528666,493154,14329167,24656802,31248341,54345148,35468336,6381,4526,1855,3932,2449,41,683,964,1269,1946,1478
20242,강북구,송중동,치킨전문점,223047998,155416063,67631935,1099108,36957343,35214187,46443794,57283697,29170378,6592,4433,2159,3810,2649,56,1049,1132,1316,1801,1107
20242,강북구,송천동,치킨전문점,547007908,388259452,158748456,755482,31446809,99531172,104551185,154348945,140689645,18365,12953,5412,11665,6488,68,1027,2827,3493,5419,5324
20242,강북구,삼각산동,치킨전문점,259655713,169576452,90079261,1025718,13346354,38049480,100358883,65810676,22455694,7514,4904,2610,4502,2683,39,416,1133,2637,1992,969
20242,강북구,번1동,치킨전문점,245971289,162902735,83068554,1050698,30514141,48720725,56205321,61358098,45026806,8662,5671,2991,4873,3755,36,1044,1619,1904,2184,1841
20242,강북구,번3동,치킨전문점,181952450,125755024,56197426,997230,13396814,26584187,55049456,47641760,34473844,9486,7080,2406,5104,4350,82,853,1444,2737,2473,1864
20242,강북구,수유1동,치킨전문점,22294587,13362105,8932482,85666,412658,3157785,4479430,5183538,8975510,1073,661,412,641,432,6,24,139,215,276,413
20242,강북구,수유2동,치킨전문점,298508173,206496388,92011785,2128135,24524775,59897522,66329739,77806240,65107804,17611,12300,5311,9645,7930,183,1788,4095,3621,4327,3559
20242,강북구,수유3동,치킨전문점,479275866,354543252,124732614,1461053,56509695,84124531,109953138,133092372,65019137,13752,9845,3907,8337,5058,61,1699,2453,2891,4159,2132
20242,강북구,우이동,치킨전문점,370914238,218934723,151979515,2668377,23792781,45629328,71990522,118423455,88558443,10606,6417,4189,6829,3501,72,678,1475,2051,3050,3007
20242,강북구,인수동,치킨전문점,3794935,2756380,1038555,0,230166,494015,1308017,606291,1156446,162,112,50,95,67,0,11,23,55,23,50
20242,강서구,염창동,치킨전문점,243528613,183515991,60012622,602818,10818226,42184843,67991811,55114424,30935852,7956,5597,2359,4750,2617,35,372,1290,2465,1862,1344
20242,강서구,등촌1동,치킨전문점,435018260,357716631,77301629,596207,27752400,90491739,87802789,80267915,44165927,10161,7927,2234,5270,3681,20,926,2422,2166,2053,1361
20242,강서구,등촌2동,치킨전문점,109400196,76196886,33203310,478022,7835995,19141336,23828866,35771738,15170682,4530,3085,1445,2425,1891,16,389,944,1095,1201,672
20242,강서구,등촌3동,치킨전문점,1230966592,911333163,319633429,7730972,168461902,248921225,199812636,218040539,191569958,31972,22881,9091,17813,11704,281,4351,6792,5268,6826,5994
20242,강서구,화곡1동,치킨전문점,391335349,271439443,119895906,1416275,48816298,94679786,90923814,93097710,42492449,12136,8414,3722,7402,4399,46,1629,2858,3073,2708,1483
20242,강서구,화곡2동,치킨전문점,16175449,10609306,5566143,0,521300,3792041,1269619,7188901,2882286,858,505,353,556,286,0,118,218,84,304,117
20242,강서구,화곡3동,치킨전문점,686441707,481653914,204787793,5628973,110212811,135887069,140308136,173350330,101942016,20163,13934,6229,11394,8476,157,2951,4024,3941,5302,3502
20242,강서구,화곡4동,치킨전문점,256403986,162168831,94235155,581969,20818751,44479810,53772391,76093665,53748808,12813,8267,4546,7805,4883,36,989,2673,2647,3492,2852
20242,강서구,화곡본동,치킨전문점,201919304,146961749,54957555,436363,19767269,48639873,53962280,42620942,34185354,13863,10152,3711,7868,5969,55,1442,3567,3408,3118,2247
20242,강서구,화곡6동,치킨전문점,455673510,306219265,149454245,1177711,40020840,117020536,129088611,87828511,46303747,12337,8339,3998,7717,4008,70,1161,3062,3357,2498,1580
