"기준_년분기_코드","자치구명","행정동_코드","행정동_코드_명","총_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","연령대_10_유동인구_비율","연령대_20_유동인구_비율","연령대_30_유동인구_비율","연령대_40_유동인구_비율","연령대_50_유동인구_비율","연령대_60_이상_유동인구_비율"
"2024Q1","강동구","11740640","성내1동","6011262","1021934","701625","964468","1002792","928648","1391795","17.0003","11.6718","16.0444","16.6819","15.4485","23.1531"
"2024Q1","강동구","11740620","천호3동","7494442","938701","1157420","1352805","1103175","1107515","1834827","12.5253","15.4437","18.0508","14.7199","14.7778","24.4825"
"2024Q1","강동구","11740610","천호2동","11230721","1490618","1465952","1923989","1803671","1753666","2792827","13.2727","13.0531","17.1315","16.0602","15.6149","24.8677"
"2024Q1","강동구","11740600","천호1동","10193140","1717952","1154064","1532584","1624543","1563905","2600091","16.854","11.322","15.0354","15.9376","15.3427","25.5082"
"2024Q1","강동구","11740590","암사3동","1475382","367903","135504","189665","260276","207936","314099","24.9361","9.1843","12.8553","17.6413","14.0937","21.2893"
"2024Q1","강동구","11740580","암사2동","2535562","396820","296909","453517","429054","390095","569165","15.6502","11.7098","17.8863","16.9215","15.385","22.4473"
"2024Q1","강동구","11740570","암사1동","8509525","1407012","951651","1294759","1400706","1335785","2119611","16.5346","11.1834","15.2154","16.4604","15.6975","24.9087"
"2024Q1","강동구","11740560","고덕2동","2195062","475927","194442","316803","405646","297792","504452","21.6817","8.8582","14.4325","18.4799","13.5665","22.9812"
"2024Q1","강동구","11740550","고덕1동","3968174","1328958","307780","414422","719456","464430","733128","33.4904","7.7562","10.4436","18.1307","11.7039","18.4752"
"2024Q1","강동구","11740540","명일2동","2117688","583723","202304","201037","344631","294376","491615","27.5642","9.5531","9.4932","16.2739","13.9008","23.2147"
"2024Q1","강동구","11740530","명일1동","5060008","936682","524792","653731","879604","745561","1319640","18.5115","10.3714","12.9196","17.3835","14.7344","26.0798"
"2024Q1","강동구","11740520","상일동","3530931","699806","311264","528594","698055","509036","784177","19.8193","8.8154","14.9704","19.7697","14.4165","22.2088"
"2024Q1","강동구","11740515","강일동","4308727","1024299","377391","571106","794469","583008","958454","23.7727","8.7588","13.2546","18.4386","13.5309","22.2445"
"2024Q1","강남구","11680750","수서동","2149184","263553","200253","344251","377135","312183","651810","12.2629","9.3176","16.0178","17.5478","14.5257","30.3283"
"2024Q1","강남구","11680740","일원2동","1195646","287843","116468","171725","234234","164322","221055","24.0743","9.741","14.3625","19.5906","13.7434","18.4883"
"2024Q1","강남구","11680730","일원1동","2583370","361030","357872","426445","435674","380773","621576","13.9752","13.8529","16.5073","16.8646","14.7394","24.0607"
"2024Q1","강남구","11680720","일원본동","2478586","661904","203242","263659","434325","350288","565167","26.7049","8.1999","10.6375","17.5231","14.1326","22.802"
"2024Q1","강남구","11680700","세곡동","3535118","982736","336298","493700","591979","419798","710605","27.7992","9.5131","13.9656","16.7457","11.8751","20.1013"
"2024Q1","강남구","11680690","개포4동","3551845","607173","435377","582450","634699","606729","685416","17.0946","12.2578","16.3985","17.8696","17.0821","19.2975"
"2024Q1","강남구","11680670","개포2동","2093190","470591","208099","271965","383080","295057","464398","22.482","9.9417","12.9928","18.3013","14.096","22.1861"
"2024Q1","강남구","11680660","개포1동","1912317","458879","148344","226698","377997","265003","435394","23.996","7.7573","11.8546","19.7664","13.8577","22.7679"
"2024Q1","강남구","11680656","도곡2동","3734597","867649","373179","479413","777563","566671","670121","23.2327","9.9925","12.8371","20.8205","15.1736","17.9436"
"2024Q1","강남구","11680655","도곡1동","7323724","1493164","838258","1190668","1436969","1047034","1317631","20.388","11.4458","16.2577","19.6207","14.2965","17.9913"
"2024Q1","강남구","11680650","역삼2동","12112419","2476129","1793335","2208092","2578819","1614320","1441725","20.4429","14.8058","18.23","21.2907","13.3278","11.9029"
"2024Q1","강남구","11680640","역삼1동","21202864","1387946","4985220","5824500","4278994","2495202","2231001","6.546","23.512","27.4703","20.1812","11.7682","10.5222"
"2024Q1","강남구","11680630","대치4동","10415818","2904547","1343324","1653046","1993531","1388490","1132881","27.8859","12.897","15.8705","19.1395","13.3306","10.8765"
"2024Q1","강남구","11680610","대치2동","6360173","1939216","710893","944665","1231360","788877","745162","30.49","11.1773","14.8528","19.3605","12.4034","11.7161"
"2024Q1","강남구","11680600","대치1동","4933775","2104729","348544","336262","956016","595725","592501","42.6596","7.0644","6.8155","19.377","12.0744","12.0091"
"2024Q1","강남구","11680590","삼성2동","9315802","1492898","1286136","1868642","2064029","1301548","1302550","16.0254","13.806","20.0588","22.1562","13.9714","13.9822"
"2024Q1","강남구","11680580","삼성1동","4611790","553870","686160","1035969","1001697","665297","668796","12.0099","14.8784","22.4635","21.7204","14.426","14.5019"
"2024Q1","강남구","11680565","청담동","8946042","1102968","1385344","1850140","1851723","1325551","1430318","12.3291","15.4856","20.6811","20.6988","14.8172","15.9883"
"2024Q1","강남구","11680545","압구정동","7425954","978104","1318456","1490405","1482072","986086","1170832","13.1714","17.7547","20.0702","19.958","13.2789","15.7668"
"2024Q1","강남구","11680531","논현2동","11844233","1153571","2090985","2901536","2556344","1551454","1590343","9.7395","17.654","24.4975","21.583","13.0988","13.4272"
"2024Q1","강남구","11680521","논현1동","10076879","635018","2297104","2664668","1996531","1202411","1281149","6.3017","22.7958","26.4434","19.813","11.9324","12.7137"
"2024Q1","강남구","11680510","신사동","6870400","762859","1358770","1513194","1370614","894586","970377","11.1036","19.7772","22.0248","19.9496","13.0209","14.124"
"2024Q1","강서구","11500641","방화3동","2570794","400467","242031","417005","433529","383311","694449","15.5776","9.4146","16.2209","16.8636","14.9102","27.013"
"2024Q1","강서구","11500640","방화2동","4889145","582809","667483","890919","753169","743998","1250765","11.9205","13.6523","18.2224","15.4049","15.2173","25.5825"
"2024Q1","강서구","11500630","방화1동","7842046","1480419","753657","1276538","1339837","1095816","1895778","18.878","9.6105","16.2781","17.0853","13.9736","24.1745"
"2024Q1","강서구","11500620","공항동","5764755","1250247","695641","939317","1014465","737428","1127657","21.6878","12.0671","16.2941","17.5977","12.792","19.5612"
"2024Q1","강서구","11500615","우장산동","7076531","1435147","941212","1034862","1229096","988236","1447976","20.2804","13.3005","14.6239","17.3686","13.965","20.4617"
"2024Q1","강서구","11500611","발산1동","5513918","1522513","620461","639372","945711","761352","1024510","27.6122","11.2526","11.5956","17.1513","13.8078","18.5804"
"2024Q1","강서구","11500605","가양3동","1988786","186055","235623","486004","325502","263732","491870","9.3552","11.8476","24.4372","16.3669","13.261","24.7322"
"2024Q1","강서구","11500604","가양2동","2062236","188742","195902","355096","275828","265758","780907","9.1523","9.4995","17.219","13.3752","12.8869","37.867"
"2024Q1","강서구","11500603","가양1동","3347541","415939","535935","778435","587101","455818","574313","12.4252","16.0098","23.2539","17.5383","13.6165","17.1563"
"2024Q1","강서구","11500593","화곡8동","8203201","1280506","1193189","1378001","1439976","1151206","1760323","15.6098","14.5454","16.7983","17.5538","14.0336","21.459"
"2024Q1","강서구","11500591","화곡6동","5680655","684105","932394","1189508","942911","756227","1175510","12.0427","16.4135","20.9396","16.5986","13.3123","20.6932"
"2024Q1","강서구","11500590","화곡본동","8105997","1305515","1216524","1488641","1300171","1040129","1755015","16.1055","15.0077","18.3647","16.0396","12.8316","21.6508"
"2024Q1","강서구","11500570","화곡4동","4540614","819277","522187","687558","729862","647597","1134133","18.0433","11.5004","15.1424","16.0741","14.2623","24.9775"
"2024Q1","강서구","11500560","화곡3동","3654260","571471","511541","593484","579076","508849","889838","15.6385","13.9985","16.2409","15.8466","13.9248","24.3507"
"2024Q1","강서구","11500550","화곡2동","3449941","617731","412801","522178","580292","501561","815380","17.9056","11.9655","15.1359","16.8203","14.5382","23.6346"
"2024Q1","강서구","11500540","화곡1동","16942618","1880099","2913768","3364085","2721077","2299886","3763702","11.0969","17.1979","19.8558","16.0605","13.5746","22.2144"
"2024Q1","강서구","11500535","등촌3동","7030505","1017503","949233","1239610","1129131","985709","1709318","14.4727","13.5016","17.6319","16.0605","14.0205","24.3129"
"2024Q1","강서구","11500530","등촌2동","3892115","676911","496196","724738","606142","521182","866948","17.3919","12.7487","18.6207","15.5736","13.3907","22.2745"
"2024Q1","강서구","11500520","등촌1동","5335129","605228","868508","1338633","882519","643505","996735","11.3442","16.279","25.0909","16.5417","12.0617","18.6825"
"2024Q1","강서구","11500510","염창동","8275803","1694038","920535","1657651","1562609","1050015","1390955","20.4698","11.1232","20.0301","18.8817","12.6878","16.8075"
