기준시점,시도,자치구,행정동,총인구수,0~9세_비율,10~19세_비율,20~29세_비율,30~39세_비율,40~49세_비율,50~59세_비율,60세이상_비율
2023Q1,서울특별시,강동구,암사제3동,17459,0.09204421788,0.1118047998,0.1036141818,0.1209118506,0.1833438341,0.151669626,0.2366114898
2023Q1,서울특별시,강동구,천호제1동,26359,0.04681512956,0.06016920217,0.1289882014,0.1479949922,0.1456428544,0.1660533404,0.3043362798
2023Q1,서울특별시,강동구,천호제2동,33213,0.0462168428,0.05112455966,0.1428657453,0.1853190016,0.1457561798,0.1540962876,0.2746213832
2023Q1,서울특별시,강동구,천호제3동,26280,0.04482496195,0.04296042618,0.1668569254,0.1890030441,0.1363394216,0.14847793,0.2715372907
2023Q1,서울특별시,강북구,미아동,21136,0.02942846329,0.05862036336,0.17084595,0.129494701,0.1296366389,0.1672501893,0.3147236942
2023Q1,서울특별시,강북구,번1동,18091,0.0307335139,0.05151732906,0.1670443867,0.1450997734,0.145984191,0.1647780664,0.2948427395
2023Q1,서울특별시,강북구,번2동,15210,0.03313609467,0.05917159763,0.1290598291,0.1049967127,0.1349769888,0.1700854701,0.368573307
2023Q1,서울특별시,강북구,번3동,16251,0.04405882715,0.06953418251,0.1043012738,0.09377884438,0.1361147006,0.1694664944,0.3827456772
2023Q1,서울특별시,강북구,삼각산동,30778,0.07775034115,0.1257716551,0.1049125999,0.1067970628,0.1893560335,0.1758723764,0.2195399311
2023Q1,서울특별시,강북구,삼양동,22819,0.04662781016,0.07353521188,0.125553267,0.1177527499,0.1401025461,0.1834874447,0.3129409702
2023Q1,서울특별시,강북구,송중동,29146,0.04751938516,0.06436560763,0.1349756399,0.1322651479,0.1454401976,0.1728539079,0.3025801139
2023Q1,서울특별시,강북구,송천동,25459,0.03291566833,0.05502965552,0.1250638281,0.1170902235,0.1328410385,0.1843748773,0.3526847087
2023Q1,서울특별시,강북구,수유1동,20230,0.03850716757,0.06164112704,0.1456747405,0.1326248146,0.1343054869,0.1671774592,0.3200692042
2023Q1,서울특별시,강북구,수유2동,20823,0.0424050329,0.06113432262,0.130336647,0.1151611199,0.1357633386,0.1713009653,0.3438985737
2023Q1,서울특별시,강북구,수유3동,23065,0.0283546499,0.04630392369,0.1830479081,0.1454584869,0.1309776718,0.1689572946,0.296900065
2023Q1,서울특별시,강북구,우이동,20152,0.04471020246,0.06421198888,0.1189460103,0.1238090512,0.1351726876,0.1750198491,0.3381302104
2023Q1,서울특별시,강북구,인수동,29602,0.04280116208,0.06732653199,0.1232686981,0.1177960949,0.1342139045,0.1736031349,0.3409904736
2023Q1,서울특별시,강서구,가양제1동,34096,0.04185241671,0.05197090568,0.2302909432,0.2614969498,0.1332707649,0.1207179728,0.1604000469
2023Q1,서울특별시,강서구,가양제2동,13756,0.03278569352,0.03016865368,0.1001017738,0.1646554231,0.1015556848,0.1271445188,0.4435882524
2023Q1,서울특별시,강서구,가양제3동,14465,0.04604217076,0.02972692707,0.09408918078,0.2064293121,0.1219495334,0.1359142758,0.3658486001
2023Q1,서울특별시,강서구,공항동,30194,0.1029012387,0.07385573293,0.1271113466,0.1709611181,0.1732132212,0.1346625157,0.2172948268
2023Q1,서울특별시,강서구,등촌제1동,24773,0.05130585718,0.04799580188,0.1943244662,0.2637548944,0.1361966657,0.1243289065,0.1820934081
2023Q1,서울특별시,강서구,등촌제2동,19617,0.05240352755,0.07274302901,0.1440077484,0.1693938931,0.1459448438,0.1580262018,0.2574807565
2023Q1,서울특별시,강서구,등촌제3동,29651,0.04988027385,0.05713129405,0.115004553,0.1546996729,0.1236383259,0.155306735,0.3443391454
